Data as of,Start Date,End Date,Sex,Age Years,Total deaths,COVID-19 Deaths
05/10/2021,01/01/2020,04/30/2021,Male,75 Years,"52,713","8,256"
05/10/2021,01/01/2020,04/30/2021,Male,76 Years,"56,445","8,838"
05/10/2021,01/01/2020,04/30/2021,Male,77 Years,"60,898","9,383"
05/10/2021,01/01/2020,04/30/2021,Male,78 Years,"59,309","9,270"
05/10/2021,01/01/2020,04/30/2021,Male,79 Years,"56,892","8,871"
05/10/2021,01/01/2020,04/30/2021,Male,80 Years,"56,214","8,839"
05/10/2021,01/01/2020,04/30/2021,Male,81 Years,"56,441","8,620"
05/10/2021,01/01/2020,04/30/2021,Male,82 Years,"56,962","8,775"
05/10/2021,01/01/2020,04/30/2021,Male,83 Years,"56,410","8,806"
05/10/2021,01/01/2020,04/30/2021,Male,84 Years,"55,967","8,470"
05/10/2021,01/01/2020,04/30/2021,Male,85 Years and over,"518,610","72,905"
05/10/2021,01/01/2020,04/30/2021,Female,<1 year,"11,006",28
05/10/2021,01/01/2020,04/30/2021,Female,01 Years,752,4
05/10/2021,01/01/2020,04/30/2021,Female,02 Years,467,1
05/10/2021,01/01/2020,04/30/2021,Female,03 Years,376,6
05/10/2021,01/01/2020,04/30/2021,Female,04 Years,302,3
05/10/2021,01/01/2020,04/30/2021,Female,05 Years,268,3
05/10/2021,01/01/2020,04/30/2021,Female,06 Years,251,3
05/10/2021,01/01/2020,04/30/2021,Female,07 Years,262,4
05/10/2021,01/01/2020,04/30/2021,Female,08 Years,234,5
05/10/2021,01/01/2020,04/30/2021,Female,09 Years,214,5
05/10/2021,01/01/2020,04/30/2021,Female,10 Years,233,1
05/10/2021,01/01/2020,04/30/2021,Female,11 Years,264,4
05/10/2021,01/01/2020,04/30/2021,Female,12 Years,334,7
05/10/2021,01/01/2020,04/30/2021,Female,13 Years,397,4
05/10/2021,01/01/2020,04/30/2021,Female,14 Years,455,10
05/10/2021,01/01/2020,04/30/2021,Female,15 Years,561,12
05/10/2021,01/01/2020,04/30/2021,Female,16 Years,673,12
05/10/2021,01/01/2020,04/30/2021,Female,17 Years,770,13
05/10/2021,01/01/2020,04/30/2021,Female,18 Years,"1,068",26
05/10/2021,01/01/2020,04/30/2021,Female,19 Years,"1,206",31
05/10/2021,01/01/2020,04/30/2021,Female,20 Years,"1,272",36
05/10/2021,01/01/2020,04/30/2021,Female,21 Years,"1,518",41
05/10/2021,01/01/2020,04/30/2021,Female,22 Years,"1,535",61
05/10/2021,01/01/2020,04/30/2021,Female,23 Years,"1,717",53
05/10/2021,01/01/2020,04/30/2021,Female,24 Years,"1,796",61
05/10/2021,01/01/2020,04/30/2021,Female,25 Years,"1,999",80
05/10/2021,01/01/2020,04/30/2021,Female,26 Years,"2,127",85
05/10/2021,01/01/2020,04/30/2021,Female,27 Years,"2,341",112
05/10/2021,01/01/2020,04/30/2021,Female,28 Years,"2,542",106
05/10/2021,01/01/2020,04/30/2021,Female,29 Years,"2,822",132
05/10/2021,01/01/2020,04/30/2021,Female,30 Years,"3,015",187
05/10/2021,01/01/2020,04/30/2021,Female,31 Years,"3,023",161
05/10/2021,01/01/2020,04/30/2021,Female,32 Years,"3,296",177
05/10/2021,01/01/2020,04/30/2021,Female,33 Years,"3,440",201
05/10/2021,01/01/2020,04/30/2021,Female,34 Years,"3,547",189
05/10/2021,01/01/2020,04/30/2021,Female,35 Years,"3,829",213
05/10/2021,01/01/2020,04/30/2021,Female,36 Years,"3,943",233
05/10/2021,01/01/2020,04/30/2021,Female,37 Years,"4,246",244
05/10/2021,01/01/2020,04/30/2021,Female,38 Years,"4,428",295
05/10/2021,01/01/2020,04/30/2021,Female,39 Years,"4,659",313
05/10/2021,01/01/2020,04/30/2021,Female,40 Years,"4,891",350
05/10/2021,01/01/2020,04/30/2021,Female,41 Years,"5,168",434
05/10/2021,01/01/2020,04/30/2021,Female,42 Years,"5,181",417
05/10/2021,01/01/2020,04/30/2021,Female,43 Years,"5,509",493
05/10/2021,01/01/2020,04/30/2021,Female,44 Years,"5,678",498
05/10/2021,01/01/2020,04/30/2021,Female,45 Years,"6,160",557
05/10/2021,01/01/2020,04/30/2021,Female,46 Years,"6,584",622
05/10/2021,01/01/2020,04/30/2021,Female,47 Years,"7,284",689
05/10/2021,01/01/2020,04/30/2021,Female,48 Years,"7,968",816
05/10/2021,01/01/2020,04/30/2021,Female,49 Years,"9,093",951
05/10/2021,01/01/2020,04/30/2021,Female,50 Years,"9,955","1,029"
05/10/2021,01/01/2020,04/30/2021,Female,51 Years,"10,368","1,001"
05/10/2021,01/01/2020,04/30/2021,Female,52 Years,"11,105","1,099"
05/10/2021,01/01/2020,04/30/2021,Female,53 Years,"12,031","1,257"
