Sex of People Fully Vaccinated
Date generated: Wed May 12 2021 18:44:03 GMT-0400 (Eastern Daylight Time)
Sex,% Persons Fully Vaccinated,# Persons Fully Vaccinated,% US Population,% Persons completed vaccination in Last 14 Days,# Persons completed vaccination in Last 14
Male,45.8,49286950,49.2,50.4,8281557
Female,54.2,58347178,50.8,49.6,8136249
